Baseline_Adapter,lora_0_0,lora_0_1,lora_0_2,lora_0_3,lora_0_4,lora_0_5,lora_0_6,lora_0_7,lora_0_8,lora_0_9,lora_1_0
lora_0_0,0.0,0.0021251917351037264,0.0028969368431717157,0.005900674965232611,0.0122392438352108,0.021477842703461647,0.03459633141756058,0.049785733222961426,0.0741722583770752,0.11471329629421234,0.16321375966072083
lora_0_1,0.0021324262488633394,0.0,0.0027625788934528828,0.005334424786269665,0.010943404398858547,0.019705232232809067,0.03170374408364296,0.04580436274409294,0.06960644572973251,0.10902728885412216,0.1576438993215561
lora_0_2,0.002800016663968563,0.0027080499567091465,0.0,0.00322123640216887,0.006645746063441038,0.01406980212777853,0.02321670390665531,0.037146635353565216,0.059558600187301636,0.09888965636491776,0.1470930129289627
lora_0_3,0.004765364807099104,0.004468977451324463,0.003022588323801756,0.0,0.0035106404684484005,0.008033644407987595,0.015040398575365543,0.02600427158176899,0.04668041691184044,0.08380948752164841,0.13104167580604553
lora_0_4,0.009250031784176826,0.008450194261968136,0.005787977483123541,0.0034731903579086065,0.0,0.004318919498473406,0.008704050444066525,0.01729671284556389,0.035455770790576935,0.06930436193943024,0.11415162682533264
lora_0_5,0.01444897148758173,0.013598177582025528,0.011335378512740135,0.007572758477181196,0.004178232047706842,0.0,0.0037935313303023577,0.009220757521688938,0.024185284972190857,0.05327621474862099,0.09543180465698242
lora_0_6,0.02337152138352394,0.021890010684728622,0.01848890259861946,0.014105214737355709,0.008381062187254429,0.003784432075917721,0.0,0.005548476241528988,0.0157012902200222,0.04012353718280792,0.07770170271396637
lora_0_7,0.035516999661922455,0.03323838859796524,0.030731746926903725,0.024712122976779938,0.016737401485443115,0.009165700525045395,0.00552727747708559,0.0,0.008641630411148071,0.027065033093094826,0.05907230079174042
lora_0_8,0.06049027293920517,0.05735098570585251,0.05404987186193466,0.04670541733503342,0.036024246364831924,0.024941906332969666,0.016023866832256317,0.008718762546777725,0.0,0.009483639150857925,0.0308146383613348
lora_0_9,0.10281196236610413,0.09769325703382492,0.09472361207008362,0.0859488695859909,0.0707387700676918,0.05514143779873848,0.04115517437458038,0.027159079909324646,0.009635494090616703,0.0,0.011141258291900158
lora_1_0,0.1566014140844345,0.150120809674263,0.1477196216583252,0.13775242865085602,0.11957073211669922,0.10065725445747375,0.08031737059354782,0.0600416362285614,0.03116547130048275,0.011252421885728836,0.0
